,"DDe ep pth th |
118,DDe ep pth th | (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) (4) (%),SSiiltl t (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ff rra ag g. . | vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
119,0-15 0 - 15,Ap,36.1,28.5,35.4,ccll,--,55..33,0.14,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
120,15-31 | 15 - 31,BBw wgl g l,34.5,27.3,38.2,ccll,--,55..88,0.16,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
121,31-56 | 31 - 56,Bwg2,29.4,29.1,41.5,cc,--,6.1,0.1,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
122,55 66 - -8 0 | 8 0,B Bw wg g3 3,27,28.9,44.] 44.1,cc,-~,6.3,0.08,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
123,80-120 80 - 120,| BBw wg g4 4,24.1,29.2,46.7,cc,-~,66..55,0.05,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
124,120-150 120 - 150,| B Bw wg gs 5,20.5,35 31.3,48.2,cc,--,66..66,0.05,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
125,0-13 0 - 13,Ap,55.5,13.9,30.6,scl sci,-~,5.6,0.16,,61,19.0875,83.05944444,Orissa
126,13-30 | 13 - 30,Al2 AI2,55,15.4,29.6,scl sci,-~,6.5,0.12,,61,19.0875,83.05944444,Orissa
127,330 0 -— 557 7,Cl CI,77.6,7.3,15.1,ssll,-~,7.3,0.11,,61,19.0875,83.05944444,Orissa
128,57-91 57 - 91,C2,82.2,10.6,Fer 7.2,Ilss,--,7.5,0.11,,61,19.0875,83.05944444,Orissa
129,91-132 | 91 - 132,C3,81.5,9.3,9.2,IIss,--,7.7,0.08,,61,19.0875,83.05944444,Orissa
130,DDe ep pth th | (cm) (em),Hori- zon zoo,Sand (2.0-0.05 mm) _((%%) ),SSiillt t ((00..0055-- 0.002mm)| 0.OO2mm) ((%%) },Clay (<0.002 «0.002 mm) _((%%) ),TTe ex xt tu ure re |,Coarse frag. vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
131,0-14 0- 14,AA,7700..00,1122..44,1177..66,s] 51,34,55..55,00..11,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
132,]1 44 - -2 29 9 |,AAl l2 2,56.6,22.2,21.2,ssccli,47,5.9,0.1,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
133,229 9-- 5566,AC,6633..11,1188..44,18.5,ssll,73,55..99,0.1,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
134,56+,Cr,weathered parent material,,,,,,,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
135,DDe ep pth th | (cm),Hori- zon,Sand (2.0-0.05 mm) (%),SSiiltl t (0.05- 0.002mm) 0.OO2mm) (%),Clay (-<0.002 «0.002 mm) (%),Texture,| CCo oa ars rse e | frag. vvool.l . (%),ppH H 1:2.5 water,EC | 14: :2 2. .5 5 water | (dS/m),,65,18.7125,82.35833333,Orissa
136,0-17 0 - 17,A,"53,1 55.1",18.4 J 8.4,26.5,ssccli,-=,6.2,0.15,,65,18.7125,82.35833333,Orissa
137,17-40 17 - 40,Btl,53.6,14.8,31.6,ssccli,--,6.5,0.1,,65,18.7125,82.35833333,Orissa
138,4 400 - -6 8 68 |,Bt2,52.5,13.4,34.1,sscc]i,--,6.2,0.07,,65,18.7125,82.35833333,Orissa
139,668 8 -— 998 8,Bt3,47.5,14.3,38.2,sscc,17,55..66,0.06,,65,18.7125,82.35833333,Orissa
140,99 88 ~ -1 2 15 | 2 5,BBt t4 4,45.8,15.6,38.6,sscc,20,55..88,0.05,,65,18.7125,82.35833333,Orissa
141,Depth | Depth (cm) (em),Hori- zon | zoo,Sand (2.0-0.05 mm) ((%%) ),Silt (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oar as re e ffr ra ag g. . | vvo ol. l . | ((%‘%)),| ppH H 11: :2 2. .5 5 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),,67,18.7125,82.35833333,Orissa
142,0-21 0- 21,A,45.3,27.2,»2 27) .B5e],ccll,1100,55..44,0.15,,67,18.7125,82.35833333,Orissa
143,21-49 21 - 49,Btl,4At1 .44,23,35.6,ccll,15,5.6,0.15,,67,18.7125,82.35833333,Orissa
144,449 9 -— 994 4,Bt2,39,23.4,37.6,ccll,15,5.8,0.2,,67,18.7125,82.35833333,Orissa
145,94-140 94 - 140 |,BBt t3 3,39.5,21.2,35.3,ccll,20,6,0.2,,67,18.7125,82.35833333,Orissa
146,11 44 00 - -1 7 15 7 5 |,BBt t4 4,38.6,22.3,39.1,ccll,25,66. .0 0,0.2,,67,18.7125,82.35833333,Orissa
147,Depth | Depth (em),Hori-| | Hori- | zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),Silt (0.05- | (0.05- 0.002mm) O.002mm) ((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),Texture -,Coarse| | Coarse ff rra ag g. . | vol. (%)_ (OA.),pH | pH 11: :2 2. .5 5 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m (dS/m),"18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
148,O-18 |; 0 - 18,Ap,33,37.7,29.3,ccll,--,6,0.59,"18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
149,| 11 88 - - 4 42 2 |,BBtl t l,27,31.3,41.7,cc,--,6.0 | 6.0,0.47,"18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
150,| 42-68 42 - 68,Bt2 | Bt2,26.8,30,45.2,cc,-- . |,61 | 6.1,0.38,"18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
151,668 8 -— 9966,Bt3 St3,43.1,22.8,34.1,ccll,-~,6.1,0.35,"18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
152,96-124 | 96 - 124,Bt4,45.3,23.1,31.6,ccll,-=,6.2,"0.27 0,27","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
153,124-152 124 - 152 |,} BBt t5 5,22.2,32,45.8,cc,--,6,0.21,"18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
154,Depth | Depth (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),Silt (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| Coarse | Coarse ff rra ag g. . | vol. | vol. ((%%) ),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),,71,18.19583333,81.5625,Orissa
155,0-12 0 - 12,A,45,27.4,27.6,ccll,20,55..99,0.1,,71,18.19583333,81.5625,Orissa
156,12-28 | 12 - 28,Bwl,41.6,33,25.4,I|,35,6,0.12,,71,18.19583333,81.5625,Orissa
157,28-52 | 28 - 52,Bw2,41.3,33.4,25.3,II,40,5.9,0.15,,71,18.19583333,81.5625,Orissa
158,52-94 | 52 - 94,Bw3,40.2,33.6,26.2,I|,45,5.7,0.18,,71,18.19583333,81.5625,Orissa
159,94—110 | 94 - 110,BBw w4 4,40.1,32.4,27.5,ccll,48,5.4,0.15,,71,18.19583333,81.5625,Orissa
160,110+,Cr,weathered parent material,,,,,,,,71,18.19583333,81.5625,Orissa
161,0-20 0 - 20,Ap,56,73 17.3,26.7,scl,55,Si2 5.2,0.65,"18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
162,2 20 0 -- 442 2,Btl,30.7,26.9,42.4,cc,25,53 5.3,0.55,"18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
163,42 —70 42 - 70,Bt2,30.4,26.5,43.1,cc,30,5.4,0.41,"18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
164,70-110 70 - 110,Bt3,29.1,26.3,44.6,cc,37,5.6,0.32,"18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
165,110+,Cr,weathered parent material,,,,,,,"18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
166,DDe ep pth th | (cm),Hori- zon,Sand (2.0-0.05 mm) (%),SSiillt t (0.05- 0.002mm)| 0.002mm) (%),Clay (<0.002 «0.002 =mm) mm) ((%%) ),Texture,| CCo oa ars rse e | ff rra ag g. . | vvo ol. l . | % (%),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),,75,18.17277778,81.53833333,Orissa
167,0-10 0 - 10,Ap,86.6,33..11,10.3,Ilss,44..66,00. .4 43 3 |,00. .1 14 4,,75,18.17277778,81.53833333,Orissa
168,10-32 10 - 32,Btl,63.6,9.9,26.5,scl sci,4.6,00. .3 31 1 |,00. .1 12 2,,75,18.17277778,81.53833333,Orissa
169,33 22 - -6 2 62 |,Bt2,49.9,14.3,35.8,sc,49 4.9,00. .223 3 |,00. .1 12 2,,75,18.17277778,81.53833333,Orissa
170,662 -— 888 2 8,Bt3,50,11.6,38.4,sscc,5,00. .1 17 7 |,00. .0 09 9,,75,18.17277778,81.53833333,Orissa
171,88-102 88 - 102,| BBt t4 4,57.4,9.4,33.2,ssccli,55..22,0.15,| 00. .1 10 0,,75,18.17277778,81.53833333,Orissa
172,Depth (cm),|Hori-| Hori- zzo on n |,Sand (2.0-0.05 (2.0~0.05 mm) (%),Silt (0.05- (0.05~ 0.002mm)| 0.OO2mm) (%),CCl la ay y | (<0.002 «0.002 mm) (%),Texture,Coarse | Coarse (frraagg. . vvool.l . | (%),| p pH H | 11: :2 2. .5 5 | wwa ate ter r,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),,77,18.33666667,82.96583333,Orissa
173,0-10 0- 10,Ap,64,15.7,20.3,ssccli,30,6.3,0.11,,77,18.33666667,82.96583333,Orissa
174,1100 -— 332 2,BBtlt l,58.3,99..44,32.3,ssccli,35,6.6,0.11,,77,18.33666667,82.96583333,Orissa
175,3322 -— 5522,Bt2,38.3 3~.3,20.7,41,cc,41,6.7,0.07,,77,18.33666667,82.96583333,Orissa
176,52-72 52 - 72,Bt3,32,23.5,44.5,cC,50,6.9,0.05,,77,18.33666667,82.96583333,Orissa
177,77 22 - -1 0 14 | 0 4,BBt t4 4,31.6,20.5,47.9,cc,25,7.2,0.06,,77,18.33666667,82.96583333,Orissa
178,DDe ep pth th | (cm),HHo ori r- i - zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((“%%)),SSiiltl t (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%“%)),Texture,| CCo oa ars rse e | (frraagg. . | vvool.l . | ((%%) ),ppH H 11: :2 2. .5 5 water,EC | 11: :2 2. .5 5 water | water ((ddSS//mm) ),"18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
179,0-18 0- 18,A,3366..44,3377..99,25.7,I|,22,5.9,0.09,"18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
180,11 88 - -4 46 6 |,AAl l2 2,31.9,4433..77,24.4,Il,28,6.2,0.09,"18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
181,46+,R,Hard rock,,,,,,,"18°53'40""N and 82·55'6"" ",79,18.89444444,82.91833333,Orissa
182,Depth | Depth (em) | (em),Hori- zon | zon,Sand (2.0-0.05 | (2.0-0.05 mm) ((%%) ),SSiiltl t (0.05- | (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture Texture --|,Coarse frag. vol. | vol. ((%*) ),| ppH H 1:2.5 | 1:2.5 water,EC 1:2.5 | wwa ate ter r (dS/m),,81,18.8875,82.95277778,Orissa
183,0-22 0 - 22,AA,48.2,29.5,22.3,Il,66,4.9,0.07,,81,18.8875,82.95277778,Orissa
184,222 2 -— 443 3,Btl,31,36.4,32.6,ccll,17,5,0.08,,81,18.8875,82.95277778,Orissa
185,43-70 43 - 70,Bt2,45,26.7,28.3,scl scI,28,5.3,0.05,,81,18.8875,82.95277778,Orissa
186,70+,Cr,weathered granite gneiss,,,,,,,,81,18.8875,82.95277778,Orissa
187,Depth | | (cm) | (em),Hori-| lIori- zon | zon,Sand (2.0-0.05 (2.0.0.05 mm) ((%%) ),Silt | (0.05- | (0.05· 0.002mm)| 0.002mm) ((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e | frag. | frag. vvool.l . | ((%%) ),ppH H 1:2.5 water,EC | 11: :2 2. .5 5 water | water (dS/m),"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
188,0-20 0- 20,A,46.8,28.1,25.1,sscclI,-~,44..66,0.08,"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
189,220 0 -— 4 45 5,Btl,41.8,27.5,30.7,ccll,--,4.7,0.07,"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
190,4455 -- 7 78 8,BBtt22,5522..00,1155..99,3322..11,sscclI,--,44..77,00..0077,"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
191,77 88 - -1 1 10 1 0 |,BBt t3 3,52.6,13.5,33.9,ssccl i,-,48 4.8,0.04,"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
192,110-150 110 - 150,| BBt t4 4,"43,3 43.3",22.1,34.6,ccll,--,44..88,0.04,"18°52'45""N and 82°54'30"" E ",83,18.87916667,82.90833333,Orissa
193,0-6,A,68.2,14.7,17.1,ss]l,--,5.7,0.21,,85,18.695,82.03972222,Orissa
194,6-31 6 - 31,Al2 A12,62,20.1,17.9,ssll,14,55..99,0.17,,85,18.695,82.03972222,Orissa
195,31-77 | 31-77,Al3 A13,58.5,22,19.5,ssll,29,5.8,0.14,,85,18.695,82.03972222,Orissa
196,777 7 -— 880 0,Cr,weathered granite gneiss,,,,,,,,85,18.695,82.03972222,Orissa
197,DDe ep pth tb | (cm) (em),Hori- zon | zon,Sand (2.0-0.05 mm) ((%%) ),SSiiltl t (0.05- 0.002mm)| 0.002mm) (%) (%)_,Clay (<0.002 «0.002 mm) (%) J%),Texture,| CCo oa ars rse e | ffr ra ag g. . | vvool.l . | (%),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
198,0-12 0- 12,A,34,28.1,37.9,ccll,55,55..22,0.13,"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
199,12-39 12- 39,Btl,21.9,25:7 25.7,52.4,cc,I 11,5.3,00. .1 11 1,"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
200,339 9—- 5599,Bt2,23.2,24,52.8,cc,1177,55..33,0.11,"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
201,59-72 59 - 72,Bt3,24.1,22.6,53.3,cc,28,55..22,0.07,"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
202,72+,Cr,weathered granite gneiss,,,,,,,"18°45'45' Nand 82°12'45""E ",87,18.7625,82.2125,Orissa
203,Depth (cm),Hori- zzo on n |,Sand (2.0-0.05 mm) ((%%) ),Silt (0.05- 0.002mm)| O.002mm) _((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xtu ture r e,| CCo oa ars rse e ffrraagg. . vvool.l . (%),pH | )1 ::22..55 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),,89,19.47333333,82.41361111,Orissa
204,0-11 0 - 11,Ap,38,2288.1. 1,333 3.9.9,ccll,--,66..11,0.28,,89,19.47333333,82.41361111,Orissa
205,11-22 It - 22,Al2 A12,3366..44,2244.7.7,338 8..99,ccll,--,66..44,00. .2 21 1,,89,19.47333333,82.41361111,Orissa
206,2222 -— 5522,Bwl,2200..00,3399..44,440 0..66,ssiicc,--,66..66,0.26,,89,19.47333333,82.41361111,Orissa
207,5522 -— 7744,Bw2,1188..22,3377..00,4444..88,ssiicc,--,66..77,0.17,,89,19.47333333,82.41361111,Orissa
208,7744 -— 9966,Bw3,3300.8.8,1199.1. 1,5500.1. 1,cc,#NAME?,66..99,0.14,,89,19.47333333,82.41361111,Orissa
209,9966 -— t1 2299,Bw4,2266..88,1177..33,5555..99,cc,-~,77..00,0.14,,89,19.47333333,82.41361111,Orissa
210,Depth (cm) (em),|Hori-| Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((°%/). ),Silt (0.05- 0.002mm); 0.OO2mm) ((%“) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ffr ra ag g. . | vvool.l . | ((%A) ),| pH | pH 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate tr e r ((ddSS//mm) ),,93,21.23,84.13138889,Orissa
211,0-11 0 - 11,Ap,55.8,21.9,22.3,ssccli,77,55..66,0.09,,93,21.23,84.13138889,Orissa
212,11 11 - -2 1 | 2 1,AAl 12 2,60.6,119 9..55,1199..99,ssll,1100,55. .99,0.07,,93,21.23,84.13138889,Orissa
213,2 211 - -4 6 46 |,AAl l3 3,669 9..44,12.3,1188..33,ssl l,1122,66..1 1,0.06,,93,21.23,84.13138889,Orissa
214,4466 -— 5577,AC,73.1,1100..22,1166..77,ssll,5544,66..00,0.06,,93,21.23,84.13138889,Orissa
215,57+,Cr,weathered granite gneiss,,,,,,,,93,21.23,84.13138889,Orissa
216,DDe ep pth th | (cm),Hori- Bori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiillt t (0.05- 0.002mm) O.002mm) ((%%)_),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ffrraagg. . | vvool.l . ((%“) ),| ppH H 11::22..55 water,EC | 11::22..55 | wwa ate ter r (dS/m),,95,21.19333333,84.13944444,Orissa
217,0-13,Ap,60,23.3,16.7,5sl1,99,55..44,0.49,,95,21.19333333,84.13944444,Orissa
218,11 33 - -2 29 9 |,Al2 A12,72.4,14.8,1122..88,ssll,2222,55..88,0.36,,95,21.19333333,84.13944444,Orissa
219,229 9- -6 68 8 |,AAl I3 3,81,1100.3J,88..77,IIss,2266,66..11,0.28,,95,21.19333333,84.13944444,Orissa
220,668 8 -— 881 1,Al4 A14,84.3,77..66,88..11,IIss,33,6.3,0.2,,95,21.19333333,84.13944444,Orissa
221,81+,CCrr,wwe ea at th he er re ed d ggrraannititee ggnneiesisss,,,,,,,,95,21.19333333,84.13944444,Orissa
222,oDe pth | pth (cm) (em),Hori-| Hori- zzo on o |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),Silt (0.05- 0.002mm);| O.OOlmm) ((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),Texture,| Coarse| Coarse ff rra ag g. . | vol. ((%%) ),pH | pH 11: :2 2. .5 5 | water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),,97,21.8325,84.74638889,Orissa
223,0-12 0 - 12,A,26.4,35.3,38.3,ccll,13,6,0.22,,97,21.8325,84.74638889,Orissa
224,12-39 12 -39,Btl,22.4,29,48.6,cc,51,6.2,0.16,,97,21.8325,84.74638889,Orissa
225,339 9 -— 665 5,Bt2,23,23.7,53.3,cc,58,6.3,0.17,,97,21.8325,84.74638889,Orissa
226,DDe ep pth th | (cm),Hori- Horl- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiiltl t (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e | ff rr aag g. . | vvool.l . | _((%%) ),ppH H 1:2.5 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),,99,21.65777778,84.45472222,Orissa
227,0-14 0- 14,AA,70.5,11.6,28.1,ssccli,--,49 4.9,0.13,,99,21.65777778,84.45472222,Orissa
228,11 44 - - 3 37 7 |,BBw wl l,58.5,12.1,29.4,ssccli,--,5.6,0.17,,99,21.65777778,84.45472222,Orissa
229,337 7- -6 64 4 |,BBw w2 2,5588..33,12,29.7,ssccli,--,66..11,0.16,,99,21.65777778,84.45472222,Orissa
230,664 4- -9 97 7 |,BBw w3 3,5566..33,13.5,30.2,ssccli,-=,5.6,0.14,,99,21.65777778,84.45472222,Orissa
231,99 77 - -1 5 10 5 0 |,B Bw w4 4,5566..44,14.1,29.5,ssccli,--,5.2,0.11,,99,21.65777778,84.45472222,Orissa
232,Depth (cm) I l,Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) (( %%) ) _,Silt (0.05- 0.002mm) (%),Clay (<0.002 «0.002 mm) (%),Texture,| CCo oar as re e frag. vvool.l . | (%),| pH pH | 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
233,0 - ]4,Ap,53.4 53.5,22.5,24,ssccli,66,6.1,0.19,"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
234,14 - 35,Bwl,18,47.1,33.9,sicl,]100,7,0.2,"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
235,35 - 57,Bw2,16.5,41.4,42.1,sic,12,7.1,0.16 0.]6,"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
236,57 - 73,Bw3,10.4,41.5,48.1,sic,23,7.1,0.14 0.]4,"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
237,73+,Cr,weathered gravels,,,,,,,"21°30'45"" Nand 85°41'48"" E ",101,21.5125,85.69666667,Orissa
238,Depth Deptb (cm),Hori-| | Hor!- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mim) mm) (%),SSilitl’t (9.05- (0.05- 0.002mm) 0.OO2mm) ((%%) ),| CCl la ay y | (<0.002 «0.002 mm) (%),Texture,| CCo oar as re s| e ffrraagg. . | vvool.l . (%),pH | pH 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | w wa ate ter r (dS/m (dS/m),,103,21.26666667,85.7875,Orissa
239,0-15 0 - IS,Ap_ Ap,65.4,11.5,23.1,scl sci,88,6.2,00..1 14 4,,103,21.26666667,85.7875,Orissa
240,11 55 - -3 39 | 9,BBw wl l,59.6,14.1,26.3,ssccli,1111,66..88,0.17,,103,21.26666667,85.7875,Orissa
241,33 99 - -5 9 59 |,B Bw w2 2,116 6..88,52.3,30.9,ssiiccll,25,6.9,0.18,,103,21.26666667,85.7875,Orissa
242,55 99 - -7 8 | 7 8,Bw3,114 4..22,51.3 51J,34.5,ssiiccll,59,7,0.15,,103,21.26666667,85.7875,Orissa
243,78+,Cr,weathered granite gneiss,,,,,,,,103,21.26666667,85.7875,Orissa
244,Depth | Deptb (cm) (em),Hori- zon,Sand (2.0-0.05 mm) ((%%) ),Silt (0.05- (0.O5~ 0.002mm)| O.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) = mm) ((%%) ),T Te ex xtu ture re |,CCo oa ars rse e | frag. vvool.l . | ((%%) ),ppH H 11: :2 2. .5 5 | wwa ate ter r |,EC 11: :2 2. .8 5 wwa ate ter r (dS/m),,105,21.49583333,85.75277778,Orissa
245,0-13,A,76.5,55..44,118 8.1. 1,ssll,--,5,0.09,,105,21.49583333,85.75277778,Orissa
246,1133 -— 228 8,BBtlt l,68.1,6.9,25,ssccli,-~,5.6,0.06,,105,21.49583333,85.75277778,Orissa
247,228 8—- 5533,Bt2,69.3,33..11,27.6,ssccli,--,6,0.04,,105,21.49583333,85.75277778,Orissa
248,553 3 -— 888 8,8Btt33,68.8,33..44,27.8,ssccli,-=,55..99,0.04,,105,21.49583333,85.75277778,Orissa
249,88 88 - -1 1 J 0 1 0 |,8Btt44,68.3,44..33,27.4,ssccli,-=,5.7,0.05,,105,21.49583333,85.75277778,Orissa
