,"DDe ep pth th |
250,Depth Deptb (cm),Hori- Hori· zon zoo,| SSa an nd d ({2(2..00-.00..005;5 mmm m) ) | ((%%)_),Silt (( 00. .005 5- - | O0. .0 O0 O2m lmm) m| ) ((%“) ),Clay | Clay «(< 00 .. 000 02 2 mm) (%)_ (%),Texture,Coarse (fr ra ag g. . | vvo ol. l . | ((“%%)),| ppH H 11: :2 2. .5 5 | wwa ate ter r |,EC Ee 11: :2 2. .5 5 wwa ate ter r (dS/m),"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
251,0-15 0 - 15,Ap,54.1,15.9,30,sscclI,--,5.4,0.83,"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
252,15-34 | 15 - 34,B Bw wgi g l |,52.6,14.5,32.9,scl scI,-~,6,0.74,"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
253,334 4— -5 59 9 |,BBw wg g2 2 |,447 7. .0 0,18.9,34.1,sscclI,--,6.4,0.65,"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
254,59-87 | 59 - 87,B Bw wg g3 3 |,55.1,14.4,30.5,ssccli,--,6.6,0.61,"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
255,87-111 87 - 11 J,Cgl,70,10.2,19.8,ssll,-~,6.6,0.47,"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
256,I1 I1 )1 - - 15 10 5 0 |,CCg g2 2,70.6,10.3,19.1,ssll,--,6.7,0.3,"21 °26' 13"" Nand 85°48'30"" E ",107,21.43694444,85.80833333,Orissa
257,DDe ep pth th | (cm),HHo ori r- i - zon | zoo,Sand (2.0-0.05 mm) ((%%) ),Silt (0.05- 0.002mm)| 0.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%“%)),TTe ex xtu ture r e |,CCo oa ars rse e frag. vol. | vol. ((%%) ),| ppH H | 11: :2 2. .5 5 water,EC | 1:2.5 1:2.5 | wwa ate ter r (dS/m),,109,21.825,85.51666667,Orissa
258,0-16 0 - 16,Ap,11.4,4.9,83.7,cc,--,6.2,0.71,,109,21.825,85.51666667,Orissa
259,16-35 16 - 35,Bw,11.7,14.3,74,cc,--,6.5,0.64,,109,21.825,85.51666667,Orissa
260,35-64 | 35 - 64,Bwgl,10.7,18.7,70.6,cC,--,6.8,0.57,,109,21.825,85.51666667,Orissa
261,64-105 64 - 105,| BBw wg g2 2,12,33.7,54.3,icc,--,7.6,0.48,,109,21.825,85.51666667,Orissa
262,105-150 105 - 150,| BBw wg g3 3,9.2,32.8,58,cc,-~,7.6,0.39,,109,21.825,85.51666667,Orissa
263,DDe ep pth th | (cm) (em),Hori- Hori~ zon | zoo,Sand (( 22. .00- -0 0. .0 05 5 mm) _(%) (%),SSilitl t | (0.05- | (0.05~ 0.002mm); 0.OO2mm) (%),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ffr ra ag g. . | vvool.l . | ((%%) ),| pH pH 1:2.5 wwa ate ter r,EC | 11: :2 2. .5 5 water | water (dS/m),,111,20.85833333,84.09166667,Orissa
264,0-12 0 - 12,Ap,42.8,25.5,31.7,ccll,-~,7Ee.:2,0.56,,111,20.85833333,84.09166667,Orissa
265,11 22 - -2 4 24 |,BBw wl l,41.7,25,33.3,ccll,-~,75 7.5,0.51,,111,20.85833333,84.09166667,Orissa
266,2 244 - -3 37 7 |,BBw w2 2,50,19.3,30.7,ssccli,--,7.6,0.43,,111,20.85833333,84.09166667,Orissa
267,33 77 - -5 0 | 50,B Bw w3 3,54.1,18,27.9,sscclI,-~,78 7.8,0.37,,111,20.85833333,84.09166667,Orissa
268,550 0- -8 81 1 |,BBw w4 4,55.3,19,25.7,sscclI,--,8,0.28,,111,20.85833333,84.09166667,Orissa
269,81-130 81 - 130,C&,6666..88,1155..1 I,18.1,ssll,-.,88..11,0.22,,111,20.85833333,84.09166667,Orissa
270,Depth (cm),Hori- Horl- zon | zon,Sand | (2.0-0.05| (2.0-0.05 mmm m) ) | ((%%) ),SSiilltt (0.05- 00. .00 002 2m mm) m| ) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xtu ture re |,CCo oa ars rse e ff rra ag g. . | vvool.l . | (%) (0/0),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),,113,21.64111111,85.77805556,Orissa
271,0-14 0 - 14,Apg,24,30.3,45.7,cc,--,6.6,0.84,,113,21.64111111,85.77805556,Orissa
272,14-23 14 -23,Bwg]l Bwsd,34.1,22.5,43.4,cc,-,7,0.76,,113,21.64111111,85.77805556,Orissa
273,2233 -— 4433,Bwg2,42,PAP: 21.2,36.8,ccll,--,7,0.68,,113,21.64111111,85.77805556,Orissa
274,43-59 43 - 59,Bwg3,56.6,12,31.4,ssccli,#NAME?,77..00,0.43,,113,21.64111111,85.77805556,Orissa
275,559 9—- 8866,Bwg4,38,32.3,29.7,ccll,-,77..11,0.29,,113,21.64111111,85.77805556,Orissa
276,86+,R,hard rock,,,,,,,,113,21.64111111,85.77805556,Orissa
277,Depth ((ccmm) ),Hori- Horl- zzo on n |,Sand (2.0-0.05 mm) ((%%) ),SSillit t ((00..0055-- 0.002mm); 0.002mm) ((%a) ),Clay (<0.002 «0.002 mm) (%),TTe ex xt tu ure re |,CCo oa ars rse e ffrraagg. . | vvool.l . | ((%‘) ),| ppH H 11::22..55 wwat ae tr e) r,EC | 11::22..55 water ((ddSS//mm) ),,115,21.38333334,85.16666667,Orissa
278,0-16 0- 16,Ap,66,"17,9 17.9",16.1,sl 51,- ~,6.3,0.28,,115,21.38333334,85.16666667,Orissa
279,1166 -~— 336 6,Bw! Bwl,56.5,11,32.5,scl sci,-=,66..77,0.13,,115,21.38333334,85.16666667,Orissa
280,3366 -— 6644,Bw2,50.2,12.7,37.1,sscc,-~,6.9,0.15,,115,21.38333334,85.16666667,Orissa
281,64-89,Bw3,48.1,)11 1..33,40.6,sscc,--,7,00..1)1 1,,115,21.38333334,85.16666667,Orissa
282,89-127 89 -127,| BBw w4 4,48.7,88..99,42.4,sscc,-~,77..22,0.11,,115,21.38333334,85.16666667,Orissa
283,127-150,| BBw ws 5,48.3,11.6,40.1,sscc,-,7.3,0.09,,115,21.38333334,85.16666667,Orissa
284,DDe ep pth th | (cm) (em),HHo ori r- f - zon zoo,Sand (2.0-0.05 mm) ((%%) ),SSillti t (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((A%) ),T Te ex xtu ture re |,CCo oa ars rse e ff rra ag g. . | vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),,117,22.23138889,84.935,Orissa
285,0-12,Ap,14.4,41.2,44.4,sic,--,7.2,0.22,,117,22.23138889,84.935,Orissa
286,23-Dec,| B Bw wl l,14.1,43.6,42.3,ssiicc,--,7.2,0.23,,117,22.23138889,84.935,Orissa
287,23-47 23 -47,| Bw2 Bw2,13.6,43.4,43,sic,--,7.1,0.14,,117,22.23138889,84.935,Orissa
288,47-67,Bw3,14,45.2,40.8,ssiicc,#NAME?,7.2,0.12,,117,22.23138889,84.935,Orissa
289,67-87,| Bw4 Bw4,16.5,36.4,47.) 47.1,cc,#NAME?,7.2,0.14,,117,22.23138889,84.935,Orissa
290,87-—120| 87 -120,Bws Bw5,19.4,35.6,45,sic,-,7.3,0.08,,117,22.23138889,84.935,Orissa
291,DDe ep pth th | (cm) (em),Hori- zzo on n |,Sand (( 22. .0 0- ·0 0. .0 05 5 mm) C(h%a)),Silt (0.05- 0.002mm); O.002mm) ((%“A)),Clay (<0.002 «0.002 mm) ((%A) ),TTe ex xt tu ure re |,CCo oa ars rse e tf rra ag g. . | vvo ol. l . | ((%%) ),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 water | water (dS/m),,119,20.94166667,84.85833333,Orissa
292,0-13 0 - 13,Ap,75,10.5,14.5,ssll,--,6.7,0.07,,119,20.94166667,84.85833333,Orissa
293,13-26 | 13 - 26,BBw wi l,60.5,18.3,21.2,sscclI,77,6.8,0.05,,119,20.94166667,84.85833333,Orissa
294,226 6- -4 40 0 |,Bw2,71.4,44 7.7,20.9,sscclI,19,6.9,0.05,,119,20.94166667,84.85833333,Orissa
295,4400 —- 7700,BC Be,69.8,8.7,21.1,scl sci,52,77. .1 1 |,0.03,,119,20.94166667,84.85833333,Orissa
296,DDe ep pth th | (cm),HHo ori r- l - zzo on n |,Sand | Sand ((22..00--00..0055 mm) (%),SSiiltl t ((00..0055- - 0.002mm)' 0.002mm) ((%%) ),Clay | Clay (<0.002 «0.002 mm) ((%%) ),Texture Texture |,CCo oar as re s; e ff rra ag g. . | vol. | vol. ((%%) ),pH | pH 11::22..55 water,EC EC | | 11::22..55 water (dS/m) l_dS/m}_,"22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
297,0-15 0 - 15,Ap,35.2,34.6,30.2,ccll,--,5.4,0.36,"22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
298,11 55 - -5 ! | 5 1,BBw wl l,1177..55,49,33.5,ssiiccl I,-~,5.7,0.27,"22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
299,55 11 - -7 1 | 7 1,BBw w2 2,15.3,42.5,42.2,ssiicc,-,5.9,0.14,"22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
300,71-105 71 -105,| BBw w3 3,14.6,42.3,43.1,ssiicc,--,6,0.09,"22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
301,105-150 105 -150,| BBw w4 4,24.4,39.6,36,ccll,--,6.2,0.08,"22°01'30"" Nand 84°58'50"" E ",121,22.025,84.98055556,Orissa
302,DDe ep pth th | (cm) (em),HHo ori r- i - zon,Sand (2.0-0.05 mim) mm) ((%“) ),SSiillt t (0.05- 0.002mm); 0.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xt tu ure re |,CCo oa ars rse e ffr ra ag g. . | vol. | vol. ((%%) ),| ppH H 11: :2 2. .8 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),"21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
303,0-14 0 - 14,Ap,56.6,55..66,37.8,sscc,16,6.1,0.8] 0.81,"21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
304,14-29 | 14 - 29,Bwgl BwgJ,42.4,23.4,"34,2 34.2",ccll,10,5.5,0.72,"21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
305,29-52 29 - 52,| B Bw wg g2 2,53.6,99..99,36.5,sc,9,77..55,0.56,"21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
306,52-106 52 - 106,Bwg3 | Bwg3,55.1 |,88..11,36.8,sscc,66..00,77..55,0.45,"21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
307,[106-150] 106 - 150,Bwg4,54.2 |,77..66,38.2,sscc,5,7.6,0.38,"21°3'34"" Nand 85°4'4"" E ",123,21.05944444,85.06777778,Orissa
308,DDe ep pth th | (cm),Hori- Horl- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiiltl t (0.05- 0.002mm); 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) (%),Texture,| CCo oa ars rse e | ff rra ag g. . | vol. | vol. (%) i%),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 water (dS/m),,125,20.92916667,85.125,Orissa
309,0-15 0 - 15,A,90,22..55,7.3,ss,--,6.8,0.05,,125,20.92916667,85.125,Orissa
310,15 - 35,A2,82.4,9,8.6,IIss,-,6.9,0.06,,125,20.92916667,85.125,Orissa
311,35-61 35 -61,Btl,73,122 12.2,14.8,ssll,-~,7.2,0.08,,125,20.92916667,85.125,Orissa
312,66 11 - -1 0 11 0 1 |,BBt t2,58.1,15.4,26.5,ssccli,--,7.4,0.1,,125,20.92916667,85.125,Orissa
313,101-150 101 -150 |,Bt3 } Bt3,50.2,12.2,37.6,sc,-~,7.5,0.13,,125,20.92916667,85.125,Orissa
314,Depth | Depth (em) | (cm),Hori- zon | zon,Sand (2.0-0.05 mm) ((%%) ),SSiillt t | (0.05- | (0.05- 0.002mm)| 0.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e frag. | frltg. vvool.l . | ((%%)),pH | pH 1:2.5 | 1:2.5 wwa ate ter r,EC 1:2.5 | wwa ate ter r (dS/m),"19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
315,0-17 0 - 17,Ap,49.5,23.2,27.3,ssccli,--,5.4,0.17,"19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
316,1177 -- 443 3,Btl,36.6,30,33.4,ccll,--,D7 So. 7,0.18,"19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
317,443 3 -— 778 8,Bt2,48,15.5,36.5,sc,--,5.9,0.09,"19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
318,7788 —- 9933,Bt3,47.2,14.1 t 4. t,38.7,sc,--,66..1 1,0.07,"19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
319,93-150 93 - 150 |,BBt t4 4,50.3,16.3,33.4,ssccli,--,6.3,0.04,"19°41'10"" Nand 84°21 '30"" E ",127,19.68611111,84.35833333,Orissa
320,DDe p pth tb | (em) (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%)J,SSiUlt t (0.05- 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) (%),TTe ex xt tu ure re |,CCo oa ars rse e | tf rra ag g. . | vvool.l . | ((%%) ),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
321,0-12 0 - 12,A,62.8,18.9,18.3,ssll,1144,66..66,0.12,"20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
322,11 22 - - 2 29 9 |,AAl I2 2,6655..88,17.1,17.1,ssll,4411,66..88,0.11,"20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
323,2299 ~- 4455,AC,58.2,18.5 t 8.5,23.3,ssccl i,79,66..77,0.14,"20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
324,45+,R,hard rock,,,,,,,"20°50'45"" Nand 85°46'45"" E ",129,20.84583333,85.77916667,Orissa
325,DDe ep pth th | (em) (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiilltt (0.05- 0.002mm) O.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ffrraagg. . | vvool.l . ((%%)),| ppH H 11::22..55 water,EC | 11::22..55 | wwa ate ter r (dS/m),"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
326,0-11,A,64.3,11.6,24.1,ssccli,35,52 5.2,0.21,"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
327,11-34 | 11-34,Btl,54.5,16.3 | 16.3,30.2,scl sci,42,5§. .2 2 |,00. .117 7,"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
328,34-65,Bt2,5500..55,18.5,31,ssccli,35,55..33,0.12,"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
329,65-104 65 - 104,| B Bt t3 3,45,15.3,39.7,ccll,4400,55..88,0.18,"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
330,104+,Cr,weathered parent material,,,,,,,"20°15'30"" Nand 85°13' E ",131,20.25833333,85.21666667,Orissa
331,DDe ep pth th | (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) _(%) (%),SSiiltl t (0.05- 0.002mm); 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xt tu ure re |,CCo oa ars rse e Cfr ra ag g. . | vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
332,0-16 0 - 16 L,Apg Apg_,32,34.7,33.3,ccl1,--,75 7.5,0.46,"21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
333,16—43 | 16 - 43,Bwgl Bwg1,44.4,18.6,37,ccll,-=,8,0.63,"21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
334,44 33 - -6 64 4 |,BBw wg g2 2,46.8,17.3,35.9,sscc]i,--,8.] 8.1,0.71,"21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
335,66 44 - -9 95 5 |,Bwg3,52.7,10.1,37.2,sscc,--,8,0.54,"21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
336,95-152 | 95 - 152,B Bw wg4 g 4,55.6,6.1,38.3,sscc,--,88..11,0.28,"21°54' N and 87°8' 10"" E ",133,21.9,87.13611111,Orissa
337,0-9 0 - 9,A,65,13.4,21.6,sscclI,21,5.3,0.07,"20°38'30"" Nand 85°57'33"" E ",135,20.64166667,85.95916667,Orissa
338,99 -— 3344,Bw,60.4,14.2,25.4,ssccl I,56,5.4,0.08,"20°38'30"" Nand 85°57'33"" E ",135,20.64166667,85.95916667,Orissa
339,334 4 -— 662 2,Cr,weathered parent material weatheredparent material,,,,,,,"20°38'30"" Nand 85°57'33"" E ",135,20.64166667,85.95916667,Orissa
340,DDe ep pth th | (cm) (em),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) _((%%) ),SSiilltt (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xt tu ure re |,CCo oa ars rse e Cfr ra ag g. . | vvool.l . | ((%%) ),| p pH H 11: :2 2. .5 5 | water,EC 11::22..55 | wwa ate ter r (dS/m (dS/m),"20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
341,0-13 0- 13,AA,7700.1. 1,18.7,1111..22,ssll,-,55..44,0.1,"20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
342,1133 -— 2299,BBtlt l,67.6,15,17.4,ssll,-,5.6,0.11,"20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
343,2299 -- 5533,Bt2,58.3,19.5,22.2,scl scI |,t11 1,5.9,0.08,"20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
344,53+,CCrr,weathered parent material,,,,,,,"20°37' 16"" Nand 85°57'45"" E ",137,20.62111111,85.9625,Orissa
345,0-14 0 - 14,Ap,50,21.3,28.7,ssccli,--,6.7,0.09,,139,20.93333334,85.75833333,Orissa
346,14-29 14 - 29 |,BBw wl l,18.4,49.2,32.4,ssiiccll,77,7,0.11,,139,20.93333334,85.75833333,Orissa
347,22 99 - -7 0 | 7 0,BBw w2 2,46.2,19.1,34.7,sscel l,1177,72 7.2,0.1,,139,20.93333334,85.75833333,Orissa
348,70-140 | 70 - 140,Bw3,46.7,14.8,38.5,sscc,31,77..33,0.06,,139,20.93333334,85.75833333,Orissa
349,140+,Cr,Weathered parent material,,,,,,,,139,20.93333334,85.75833333,Orissa
350,DDe ep pth th | (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiilltt (0.05- 0.002mm)| O.OOlmm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,Coarse | Coarse frag. vvool.l . | ((%%) ),pH | pH § 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),,141,20.9125,85.59166667,Orissa
351,0-15,Ap,36.7,34,29.3,ccll,--,5.7,0.69,,141,20.9125,85.59166667,Orissa
352,1155 -~3 35 5,Bw,30.7,36,33.3,ccl),--,66..00,0.58,,141,20.9125,85.59166667,Orissa
353,33 55 - -6 8 6 8 |,Bwgl Bw~1,18.3,40.4,41.3,ssiicc,--,66..1 1,0.46,,141,20.9125,85.59166667,Orissa
354,66 88 - -1 0 14 | 0 4,Bwg2 Bw~2,25.2,29.5,"45,3 45.3",cC,--,66..22,0.39,,141,20.9125,85.59166667,Orissa
355,110 04 4 -— 115 50 0 |,BBw wg g3 3,20.2,32.5,47.3,cc,--,6.4,0.27,,141,20.9125,85.59166667,Orissa
356,DDe ep pth th | ((ecmm) ),BHo ori r- l - zon | ZOD,Sand Saad ((22..00--00..005S mm) ((%%) ),SSiUlt t (0.05- (O.OS- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 mm) ((%%) ),Texture,| CCo oar as ne e Cfrraagg. . | vol. | vol. (%) (~.),| ppH H 11::22..55 water,| EC | 11::22..5S water | water dS/m) (dS/m),,145,19.62666667,82.79611111,Orissa
357,0-7 0 -1,Ap,65.4,17.7 11.1,16.9,ssll,- =,5.8,0.07 0.01,,145,19.62666667,82.79611111,Orissa
358,7-29 7- 29,BBtlt l,57.3,16.6,26.1,sscclI,--,5.9,0.04,,145,19.62666667,82.79611111,Orissa
359,29-42 29 - 42,Bt2 Btl,50.9,16.7,32.4,ssccli,-~,6.1,0.04,,145,19.62666667,82.79611111,Orissa
360,42-74 42 - 74,Bt3 Btl,48.4,13,38.6,sc,-~,6.1,0.02,,145,19.62666667,82.79611111,Orissa
361,774 4- -1 0 17 0 1 |,BBt t4 4,47.6,12.5,39.9,sc 50,-~,6.3,0.03,,145,19.62666667,82.79611111,Orissa
362,107-150,| BBt t5 S,30.4,26.4,43.2,cc,-~,6.4,0.03,,145,19.62666667,82.79611111,Orissa
363,DDe p pth th | (cm) (em),Hori- zzo on n |,Sand (( 12. .00- -0 0. .0 05 5 mm) ((%%)),SSiilltt (0.05- (0.05. 0.002mm);/ 0.002mm) ((%%) ),Clay (<0.002 «0.001 mm) ((%%) ),T Te ex xtu ture re |,CCo oa ars rse e ff rra ag g. . | vol. | vol. ((%%) ),pH | pH 11: :2 1. .5 5 | wwa ate ter r,EC 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),"19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
364,0-15,Ap Ap~,62,20.2,117 7..88,ssll,-~,55..99,0.26,"19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
365,1155 -— 3344,BBtlt l,42.6,22.1,35.3,ccll,--,5.8,0.14,"19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
366,3344 --6 69 9,Bt2,3355.3J,23.2,41.5,cc,--,6,0.13,"19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
367,69-104 69 - 104,| BBtst l,28.8,22,49.2,cc,--,66..00,0.11,"19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
368,104—162 104 - 162,| BBt t4 4,30.9,22.4,46.7,cc,22,6,0.1,"19°38'55"" Nand 82°7'33"" E ",147,19.64861111,82.12583333,Orissa
369,0-9 0 - 9,A,40.2,27,32.8,cl c1,-,55..88,0.13,"19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
370,9-26 9 - 26,Bwl,37.3,24.6,38.1,cc,--,66..00,0.09,"19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
371,22 66 - -6 7 | 67,B Bw w2 2,35,21.4,43.6,cc,--,66..11,0.08,"19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
372,66 77 - -1 0 13 0 3 |,BBw w3 3,32,18.6,49.4 49. 4,cg,--,66..22,0.05,"19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
373,110 03 3 -— 114 48 8,| BBw w4 4,32.2,21.3,46.5,cc,- ”,66..44,0.05,"19°38'38"" Nand 82°8'30"" E ",149,19.64388889,82.14166667,Orissa
374,Depth | Depth (cm) (em),Hori- zon | zon,Sand (2.0-0.05 mm) ((%%) ),SSillti t (0.05- 0.002mm) 0.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ff rra ag g. . | vvo ol l. . | ((%%) ),| ppH H 11: :2 2. .5 5 | wwa ate ter r,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),,151,20.075,82.52083333,Orissa
